@RELATION AVRO
@ATTRIBUTE Version Numeric 
@ATTRIBUTE FileName String 
@ATTRIBUTE Size Numeric 
@ATTRIBUTE NR Numeric 
@ATTRIBUTE LOC_TOUCH Numeric 
@ATTRIBUTE LOC_ADD Numeric 
@ATTRIBUTE MAX_LOC_ADD Numeric 
@ATTRIBUTE Churn Numeric 
@ATTRIBUTE MAX_Churn Numeric 
@ATTRIBUTE AVG_LOC_ADDED Numeric 
@ATTRIBUTE AVG_CHURN Numeric 
@ATTRIBUTE Buggy {0,1} 

@DATA 
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\AvroRuntimeException.java,24,3,72,48,48,48,48,16.0,16.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\AvroTypeException.java,25,4,87,56,56,53,56,14.0,13.25,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\file\DataFileReader.java,218,6,654,446,446,524,446,74.333336,87.333336,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\file\DataFileWriter.java,193,6,572,389,389,456,389,64.833336,76.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\file\SeekableFileInput.java,32,3,96,64,64,64,64,21.333334,21.333334,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\file\SeekableInput.java,36,3,108,72,72,72,72,24.0,24.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericArray.java,36,4,112,74,74,73,74,18.5,18.25,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericData.java,279,10,801,549,549,789,549,54.9,78.9,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericDatumReader.java,462,15,1370,1105,1105,5603,1105,73.666664,373.53333,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericDatumWriter.java,253,9,644,480,480,979,480,53.333332,108.77778,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericFixed.java,24,1,24,24,24,24,24,24.0,24.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericRecord.java,28,3,84,56,56,56,56,18.666666,18.666666,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericRequestor.java,57,6,186,129,129,176,129,21.5,29.333334,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\generic\GenericResponder.java,54,5,174,121,121,156,121,24.2,31.2,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\BinaryDecoder.java,300,2,310,305,305,300,305,152.5,150.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\BinaryEncoder.java,250,2,282,266,266,250,266,133.0,125.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\BlockingBinaryEncoder.java,622,1,622,622,622,622,622,622.0,622.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\DatumReader.java,38,5,120,81,81,88,81,16.2,17.6,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\DatumWriter.java,35,5,111,75,75,82,75,15.0,16.4,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\Decoder.java,287,2,289,289,289,299,289,144.5,149.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\Encoder.java,275,2,278,278,278,287,278,139.0,143.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\ParsingTable.java,383,1,383,383,383,383,383,383.0,383.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\ResolvingDecoder.java,223,1,223,223,223,223,223,223.0,223.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\ResolvingTable.java,489,1,489,489,489,489,489,489.0,489.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\ValidatingDecoder.java,358,1,358,358,358,358,358,358.0,358.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\io\ValidatingEncoder.java,225,1,225,225,225,225,225,225.0,225.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\AvroRemoteException.java,40,4,136,88,88,84,88,22.0,21.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\ByteBufferInputStream.java,86,6,241,172,172,244,172,28.666666,40.666668,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\ByteBufferOutputStream.java,87,4,262,175,175,177,175,43.75,44.25,1
