Month,NumberOfFixes
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,2
2011-06,3
2011-07,3
2011-08,12
2011-09,3
2011-10,14
2011-11,35
2011-12,8
2012-01,5
2012-02,19
2012-03,23
2012-04,15
2012-05,27
2012-06,17
2012-07,19
2012-08,28
2012-09,21
2012-10,24
2012-11,20
2012-12,48
2013-01,22
2013-02,11
2013-03,10
2013-04,5
2013-05,4
2013-06,12
2013-07,19
2013-08,8
2013-09,6
2013-10,17
2013-11,2
2013-12,4
2014-01,9
2014-02,10
2014-03,12
2014-04,4
2014-05,11
2014-06,5
2014-07,4
2014-08,5
2014-09,15
2014-10,3
2014-11,1
2014-12,15
2015-01,4
2015-02,1
2015-03,7
2015-04,7
2015-05,3
2015-06,1
2015-07,4
2015-08,2
2015-09,2
2015-10,6
2015-11,0
2015-12,1
2016-01,4
2016-02,10
2016-03,10
2016-04,17
2016-05,3
2016-06,2
2016-07,7
2016-08,2
2016-09,1
2016-10,3
2016-11,10
2016-12,10
2017-01,10
2017-02,0
2017-03,11
2017-04,10
2017-05,33
2017-06,27
2017-07,13
2017-08,6
2017-09,0
2017-10,8
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
