BOOKKEEPER-1105,2017-08-09,[12],14,12
BOOKKEEPER-1104,2017-07-27,,12,12
BOOKKEEPER-1103,2017-07-26,[12],12,12
BOOKKEEPER-1102,2017-07-22,[12],12,12
BOOKKEEPER-1101,2017-07-19,,12,12
BOOKKEEPER-1098,2017-06-14,,12,12
BOOKKEEPER-1079,2017-05-26,[12],12,12
BOOKKEEPER-1077,2017-05-25,,12,12
BOOKKEEPER-1075,2017-05-25,,12,12
BOOKKEEPER-1074,2017-05-25,,12,12
BOOKKEEPER-1073,2017-05-25,,12,12
BOOKKEEPER-1072,2017-05-25,,12,12
BOOKKEEPER-1071,2017-05-18,[12],12,12
BOOKKEEPER-1061,2017-05-10,,12,12
BOOKKEEPER-1058,2017-05-10,,12,12
BOOKKEEPER-1047,2017-05-04,,12,12
BOOKKEEPER-1044,2017-04-25,,12,12
BOOKKEEPER-1031,2017-04-10,[11],12,12
BOOKKEEPER-1021,2017-04-03,,12,12
BOOKKEEPER-1020,2017-04-01,[12],12,12
BOOKKEEPER-1018,2017-03-27,,12,12
BOOKKEEPER-1013,2017-03-23,,12,12
BOOKKEEPER-999,2017-02-08,[11],12,12
BOOKKEEPER-989,2016-12-20,,12,12
BOOKKEEPER-988,2016-12-18,,12,12
BOOKKEEPER-987,2016-12-16,[12],12,12
BOOKKEEPER-986,2016-12-13,,12,12
BOOKKEEPER-984,2016-12-10,,12,12
BOOKKEEPER-980,2016-11-29,,12,12
BOOKKEEPER-959,2016-10-20,[11],12,12
BOOKKEEPER-958,2016-10-19,,12,12
BOOKKEEPER-957,2016-10-19,,,12
BOOKKEEPER-956,2016-10-19,,12,12
BOOKKEEPER-955,2016-10-19,,12,12
BOOKKEEPER-952,2016-10-14,,12,12
BOOKKEEPER-940,2016-07-12,[12],12,12
BOOKKEEPER-939,2016-07-11,,12,12
BOOKKEEPER-938,2016-07-08,[12],12,12
BOOKKEEPER-933,2016-06-17,,12,12
BOOKKEEPER-927,2016-05-15,[10],12,11
BOOKKEEPER-926,2016-04-30,[9],11,11
BOOKKEEPER-925,2016-04-27,,11,11
BOOKKEEPER-924,2016-04-22,[10],12,11
BOOKKEEPER-921,2016-04-11,[11],11,11
BOOKKEEPER-919,2016-04-07,,11,11
