Version,File Name,Size,NR,LOC_touched,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_LOC_added,AVG_Churn,Buggy
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\MySqlClient.java,137,4,242,242,242,454,242,60.5,113.5,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\TestClient.java,244,5,340,340,340,516,340,68.0,103.2,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\Bookie.java,1026,14,1246,1246,1246,6354,1246,89.0,453.85715,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BookieException.java,92,3,121,121,121,172,121,40.333332,57.333332,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BufferedChannel.java,180,4,195,195,195,245,195,48.75,61.25,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\EntryLogger.java,471,9,633,633,633,1512,633,70.333336,168.0,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\FileInfo.java,204,5,210,210,210,459,210,42.0,91.8,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerCache.java,551,7,621,621,621,988,621,88.71429,141.14285,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerDescriptor.java,149,5,168,168,168,233,168,33.6,46.6,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerEntryPage.java,157,3,164,164,164,189,164,54.666668,63.0,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\MarkerFileChannel.java,147,1,147,147,147,147,147,147.0,147.0,0
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\client\AsyncCallback.java,137,5,262,262,262,537,262,52.4,107.4,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BKException.java,271,4,280,280,280,346,280,70.0,86.5,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookieWatcher.java,205,4,212,212,212,230,212,53.0,57.5,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookKeeper.java,548,9,1046,1046,1046,2679,1046,116.22222,297.66666,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookKeeperAdmin.java,728,6,930,930,930,1432,930,155.0,238.66667,1
1,C:\Users\kew1\Desktop\Falessi\Scanner\BOOKKEEPER\bookkeeper-server\src\main\java\org\apache\bookkeeper\client\CRC32DigestManager.java,50,2,53,53,53,56,53,26.5,28.0,1
