Month,NumberOfFixes
2004-04,0
2004-05,2
2004-06,1
2004-07,10
2004-08,6
2004-09,4
2004-10,0
2004-11,0
2004-12,8
2005-01,9
2005-02,8
2005-03,49
2005-04,82
2005-05,48
2005-06,71
2005-07,87
2005-08,71
2005-09,82
2005-10,103
2005-11,48
2005-12,22
2006-01,24
2006-02,22
2006-03,22
2006-04,13
2006-05,17
2006-06,18
2006-07,15
2006-08,19
2006-09,8
2006-10,17
2006-11,27
2006-12,18
2007-01,21
2007-02,25
2007-03,31
2007-04,15
2007-05,27
2007-06,47
2007-07,4
2007-08,9
2007-09,29
2007-10,19
2007-11,18
2007-12,3
2008-01,36
2008-02,19
2008-03,43
2008-04,10
2008-05,10
2008-06,15
2008-07,21
2008-08,23
2008-09,9
2008-10,19
2008-11,22
2008-12,47
2009-01,58
2009-02,54
2009-03,34
2009-04,14
2009-05,11
2009-06,33
2009-07,28
2009-08,43
2009-09,35
2009-10,33
2009-11,22
2009-12,43
2010-01,24
2010-02,8
2010-03,31
2010-04,23
2010-05,16
2010-06,3
2010-07,11
2010-08,27
2010-09,31
2010-10,9
2010-11,23
2010-12,15
2011-01,15
2011-02,25
2011-03,4
2011-04,1
2011-05,0
2011-06,6
2011-07,11
2011-08,8
2011-09,6
2011-10,0
2011-11,4
2011-12,4
2012-01,3
2012-02,0
2012-03,1
2012-04,2
2012-05,0
2012-06,0
2012-07,6
2012-08,2
2012-09,1
2012-10,2
2012-11,21
2012-12,9
2013-01,5
2013-02,1
2013-03,8
2013-04,2
2013-05,4
2013-06,1
2013-07,4
2013-08,3
2013-09,2
2013-10,0
2013-11,2
2013-12,2
2014-01,22
2014-02,11
2014-03,8
2014-04,1
2014-05,7
2014-06,13
2014-07,5
2014-08,5
2014-09,4
2014-10,5
2014-11,9
2014-12,8
2015-01,9
2015-02,8
2015-03,10
2015-04,9
2015-05,2
2015-06,4
2015-07,1
2015-08,1
2015-09,11
2015-10,16
2015-11,1
2015-12,1
2016-01,1
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,1
2016-07,1
2016-08,2
2016-09,2
2016-10,2
2016-11,1
2016-12,0
2017-01,52
2017-02,18
2017-03,17
2017-04,8
2017-05,11
2017-06,3
2017-07,2
2017-08,5
2017-09,3
2017-10,2
2017-11,3
2017-12,4
2018-01,5
2018-02,10
2018-03,3
2018-04,0
2018-05,7
2018-06,8
2018-07,2
2018-08,0
2018-09,10
2018-10,7
2018-11,5
2018-12,6
2019-01,12
2019-02,6
2019-03,10
2019-04,14
2019-05,5
2019-06,10
2019-07,17
2019-08,8
2019-09,3
2019-10,2
2019-11,11
2019-12,8
2020-01,10
2020-02,2
2020-03,0
2020-04,11
2020-05,7
2020-06,14
2020-07,5
2020-08,4
2020-09,4
2020-10,16
2020-11,21
2020-12,10
2021-01,7
2021-02,8
2021-03,15
2021-04,4
2021-05,11
2021-06,8
2021-07,23
2021-08,5
2021-09,25
2021-10,21
2021-11,7
2021-12,6
2022-01,18
2022-02,13
2022-03,18
2022-04,14
2022-05,13
2022-06,0
