DATASET;%TRAININGDATA;%DEFECTTRAIN;%DEFECTTEST;CLASSIFIER;TP;FP;TN;FN;PRECISION;RECALL;ROC;KAPPA
AVRO RUN ;0.065740511;0.022641509;0.057692308;Random Forest;0;0;147;9;0;0;0.548752834;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;NaiveBayes;0;0;147;9;0;0;0.678382464;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;IBK;0;0;147;9;0;0;0.510204082;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;CostSensitiveLearning RandomForest;0;0;147;9;0;0;0.5;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;CostSensitiveThreshold RandomForest;0;0;147;9;0;0;0.5;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;CostSensitiveLearning NaiveBayes;0;0;147;9;0;0;0.678382464;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;CostSensitiveThreshold NaiveBayes;0;0;147;9;0;0;0.5;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;CostSensitiveLearning IBK;0;0;147;9;0;0;0.510204082;0.00000
AVRO RUN ;0.065740511;0.022641509;0.057692308;CostSensitiveThreshold IBK;0;0;147;9;0;0;0.5;0.00000
AVRO RUN ;0.104440585;0.035629454;0.056962025;Random Forest;0;0;149;9;0;0;0.868754661;0.00000
AVRO RUN ;0.104440585;0.035629454;0.056962025;CostSensitiveLearning RandomForest;0;0;149;9;0;0;0.80611484;0.00000
AVRO RUN ;0.104440585;0.035629454;0.056962025;CostSensitiveThreshold RandomForest;0;0;149;9;0;0;0.5;0.00000
AVRO RUN ;0.143636815;0.041450777;0.056962025;CostSensitiveLearning RandomForest;0;0;149;9;0;0;0.838926174;0.00000
AVRO RUN ;0.143636815;0.041450777;0.056962025;CostSensitiveThreshold RandomForest;0;0;149;9;0;0;0.5;0.00000
AVRO RUN ;0.182833044;0.044776119;0.052631579;CostSensitiveLearning RandomForest;0;0;162;9;0;0;0.984910837;0.00000
AVRO RUN ;0.225254279;0.046255507;0.039130435;CostSensitiveLearning RandomForest;0;0;221;9;0;0;0.967320261;0.00000
AVRO RUN ;0.282312081;0.044815466;0.037656904;CostSensitiveLearning RandomForest;0;0;230;9;0;0;0.694927536;0.00000
AVRO RUN ;0.282312081;0.044815466;0.037656904;CostSensitiveThreshold RandomForest;0;0;230;9;0;0;0.5;0.00000
AVRO RUN ;0.34160258;0.043572985;0.037878788;CostSensitiveLearning RandomForest;0;0;254;10;0;0;0.688779528;0.00000
AVRO RUN ;0.34160258;0.043572985;0.037878788;CostSensitiveThreshold RandomForest;0;0;254;10;0;0;0.5;0.00000
AVRO RUN ;0.407095014;0.042656917;0.029739777;Random Forest;0;0;261;8;0;0;0.840517241;0.00000
AVRO RUN ;0.407095014;0.042656917;0.029739777;CostSensitiveLearning RandomForest;0;0;261;8;0;0;0.876915709;0.00000
AVRO RUN ;0.407095014;0.042656917;0.029739777;CostSensitiveThreshold RandomForest;0;0;261;8;0;0;0.5;0.00000
